"year","month","day","order","country","session.ID","page.1..main.category.","page.2..clothing.model.","colour","location","model.photography","price","price.2","page"
2008,"July",10,4,"Poland",18562,"skirts","B24","pink","top in the middle","en face",57,"yes",2
2008,"June",25,3,"Poland",16107,"blouses","C1","brown","top left","profile",28,"no",1
2008,"June",12,8,"Poland",14042,"skirts","B24","pink","top in the middle","en face",57,"yes",2
2008,"July",6,2,"Poland",17848,"sale","P5","blue","top in the middle","en face",23,"no",1
2008,"April",23,2,"Czech_Republic",5455,"trousers","A15","white","bottom in the middle","profile",33,"no",1
2008,"May",11,9,"Poland",8639,"skirts","B31","of many colors","bottom in the middle","en face",57,"yes",2
2008,"April",4,30,"Poland",1345,"trousers","A26","black","top right","en face",38,"no",2
2008,"May",1,32,"Poland",6985,"trousers","A28","beige","bottom left","profile",43,"no",2
2008,"August",4,1,"Czech_Republic",22528,"trousers","A11","blue","bottom left","en face",62,"yes",1
2008,"April",14,2,"Lithuania",3515,"blouses","C50","of many colors","bottom in the middle","profile",20,"no",3
2008,"May",3,4,"Poland",7316,"skirts","B9","beige","top right","en face",48,"no",1
2008,"April",3,2,"Poland",1226,"trousers","A6","blue","top in the middle","en face",43,"no",1
2008,"April",4,16,"Poland",1497,"sale","P51","of many colors","bottom in the middle","en face",28,"no",3
2008,"April",2,3,"Poland",704,"trousers","A16","beige","bottom right","en face",33,"no",1
2008,"July",8,1,"Poland",18276,"blouses","C6","grey","top in the middle","en face",33,"no",1
2008,"April",19,2,"Poland",4680,"skirts","B11","black","bottom left","en face",43,"no",1
2008,"April",29,20,"Poland",6627,"blouses","C49","brown","bottom in the middle","profile",26,"no",3
2008,"August",11,10,"Poland",23700,"blouses","C41","violet","top in the middle","en face",28,"no",3
2008,"July",10,4,"Poland",18584,"blouses","C4","brown","top in the middle","en face",48,"yes",1
2008,"May",1,2,"Poland",7081,"blouses","C2","red","top left","en face",43,"yes",1
2008,"July",8,2,"Poland",18191,"trousers","A9","blue","top right","en face",82,"yes",1
2008,"July",3,6,"Poland",17448,"trousers","A8","blue","top right","en face",62,"yes",1
2008,"July",24,9,"net(*.net)",20980,"trousers","A6","blue","top in the middle","en face",43,"no",1
2008,"April",2,8,"Czech_Republic",594,"blouses","C56","grey","top left","profile",57,"yes",4
2008,"April",5,6,"Poland",1563,"skirts","B32","grey","bottom in the middle","en face",38,"no",2
2008,"June",13,1,"Czech_Republic",14337,"trousers","A2","blue","top left","en face",43,"no",1
2008,"May",20,1,"Poland",10168,"trousers","A11","blue","bottom left","en face",62,"yes",1
2008,"May",21,14,"Poland",10373,"skirts","B24","pink","top in the middle","en face",57,"yes",2
2008,"June",12,6,"net(*.net)",14151,"skirts","B7","grey","top right","en face",38,"no",1
2008,"July",5,3,"Poland",17703,"skirts","B1","brown","top left","en face",57,"yes",1
2008,"August",5,4,"Czech_Republic",22702,"blouses","C56","grey","top left","profile",57,"yes",4
2008,"June",7,2,"net(*.net)",13343,"trousers","A10","blue","bottom left","en face",38,"no",1
2008,"April",1,7,"Lithuania",64,"skirts","B10","black","bottom left","en face",67,"yes",1
2008,"June",26,10,"Germany",16250,"sale","P49","white","bottom in the middle","en face",33,"no",3
2008,"May",15,56,"Poland",9309,"trousers","A26","black","top right","en face",38,"no",2
2008,"May",21,4,"com(*.com)",10480,"blouses","C9","grey","top right","en face",48,"yes",1
2008,"August",9,4,"Poland",23408,"skirts","B16","red","bottom right","en face",52,"yes",1
2008,"June",17,5,"Poland",14935,"sale","P60","white","top in the middle","en face",28,"no",4
2008,"April",11,3,"Poland",3092,"blouses","C1","brown","top left","profile",28,"no",1
2008,"May",21,10,"Poland",10467,"trousers","A30","grey","bottom left","en face",38,"no",2
2008,"April",11,2,"Poland",2963,"blouses","C12","white","bottom left","en face",43,"yes",1
2008,"April",17,1,"Poland",4386,"skirts","B2","blue","top left","profile",57,"yes",1
2008,"May",16,1,"Poland",9535,"trousers","A15","white","bottom in the middle","profile",33,"no",1
2008,"July",22,11,"Poland",20559,"blouses","C29","grey","bottom left","profile",52,"yes",2
2008,"July",25,3,"Poland",21129,"skirts","B14","black","bottom in the middle","en face",62,"yes",1
2008,"June",20,1,"Poland",15438,"trousers","A4","blue","top in the middle","profile",38,"no",1
2008,"August",8,3,"Poland",23372,"trousers","A7","blue","top right","en face",43,"no",1
2008,"June",4,20,"Czech_Republic",12907,"skirts","B24","pink","top in the middle","en face",57,"yes",2
2008,"April",3,11,"Poland",1191,"blouses","C8","black","top right","profile",48,"yes",1
2008,"April",10,5,"Poland",2641,"sale","P1","blue","top left","en face",38,"yes",1
2008,"April",11,14,"Poland",2997,"sale","P25","black","top right","profile",43,"yes",2
2008,"July",15,4,"Czech_Republic",19416,"trousers","A31","grey","bottom in the middle","profile",62,"yes",2
2008,"April",23,52,"Poland",5614,"blouses","C39","grey","top left","en face",77,"yes",3
2008,"May",8,6,"Lithuania",8113,"sale","P20","green","top left","en face",23,"no",2
2008,"June",25,1,"Poland",16149,"blouses","C3","grey","top left","profile",23,"no",1
2008,"August",1,1,"Poland",22238,"trousers","A5","blue","top in the middle","en face",43,"no",1
2008,"July",15,7,"Poland",19471,"sale","P18","black","bottom right","en face",28,"no",1
2008,"June",3,5,"Poland",12572,"skirts","B16","red","bottom right","en face",52,"yes",1
2008,"July",11,6,"Czech_Republic",18837,"trousers","A22","brown","top in the middle","en face",62,"yes",2
2008,"August",6,185,"Poland",22902,"trousers","A42","grey","top in the middle","en face",28,"no",3
2008,"May",27,1,"Poland",11376,"skirts","B11","black","bottom left","en face",43,"no",1
2008,"June",19,1,"Czech_Republic",15317,"blouses","C33","white","bottom in the middle","en face",48,"yes",2
2008,"July",26,2,"Poland",21251,"blouses","C2","red","top left","en face",43,"yes",1
2008,"July",28,6,"Poland",21533,"trousers","A11","blue","bottom left","en face",62,"yes",1
2008,"July",7,7,"Poland",17958,"skirts","B32","grey","bottom in the middle","en face",38,"no",2
2008,"August",7,1,"Czech_Republic",23198,"trousers","A12","black","bottom left","en face",38,"no",1
2008,"May",16,1,"Poland",9444,"trousers","A4","blue","top in the middle","profile",38,"no",1
2008,"May",7,5,"Estonia",7951,"blouses","C27","pink","top right","en face",48,"yes",2
2008,"June",23,2,"Poland",15868,"trousers","A39","brown","top left","en face",38,"no",3
2008,"April",16,4,"Poland",3970,"blouses","C9","grey","top right","en face",48,"yes",1
2008,"May",20,3,"Poland",10148,"blouses","C17","white","bottom right","en face",48,"yes",1
2008,"May",29,7,"Norway",11891,"skirts","B20","navy blue","top left","en face",43,"no",2
2008,"June",27,3,"Poland",16529,"trousers","A17","black","bottom right","en face",62,"yes",1
2008,"July",13,7,"Poland",19023,"blouses","C47","violet","bottom left","profile",18,"no",3
2008,"May",27,1,"Poland",11349,"sale","P36","black","bottom right","en face",43,"yes",2
2008,"May",7,37,"Poland",8027,"trousers","A31","grey","bottom in the middle","profile",62,"yes",2
2008,"June",26,14,"Poland",16370,"sale","P41","of many colors","top in the middle","profile",43,"yes",3
2008,"April",24,9,"Poland",5720,"trousers","A42","grey","top in the middle","en face",28,"no",3
2008,"April",19,38,"Poland",4765,"blouses","C26","white","top right","en face",28,"no",2
2008,"July",29,4,"Poland",21641,"skirts","B16","red","bottom right","en face",52,"yes",1
2008,"April",7,2,"Poland",2033,"skirts","B7","grey","top right","en face",38,"no",1
2008,"May",30,5,"Poland",11902,"blouses","C5","pink","top in the middle","en face",48,"yes",1
2008,"July",23,5,"Poland",20803,"blouses","C14","of many colors","bottom in the middle","en face",23,"no",1
2008,"August",3,3,"Poland",22370,"trousers","A22","brown","top in the middle","en face",62,"yes",2
2008,"August",6,114,"Poland",22902,"sale","P37","black","top left","en face",43,"yes",3
2008,"July",28,2,"Poland",21467,"blouses","C40","white","top in the middle","profile",28,"no",3
2008,"May",10,3,"Poland",8425,"trousers","A11","blue","bottom left","en face",62,"yes",1
2008,"April",15,3,"Czech_Republic",3832,"trousers","A3","blue","top left","en face",72,"yes",1
2008,"June",20,1,"Lithuania",15371,"blouses","C8","black","top right","profile",48,"yes",1
2008,"June",4,4,"Poland",12739,"blouses","C24","red","top in the middle","en face",33,"no",2
2008,"April",2,6,"Poland",608,"skirts","B26","violet","top right","en face",57,"yes",2
2008,"April",2,9,"Poland",512,"sale","P65","of many colors","bottom left","profile",43,"yes",4
2008,"July",7,8,"Poland",17963,"sale","P21","brown","top left","en face",33,"no",2
2008,"April",7,5,"Poland",1991,"blouses","C57","burgundy","top left","profile",33,"no",4
2008,"June",9,1,"Poland",13562,"sale","P11","brown","bottom left","profile",38,"yes",1
2008,"April",1,7,"Poland",123,"sale","P33","of many colors","bottom in the middle","en face",43,"yes",2
2008,"July",21,9,"Lithuania",20296,"sale","P56","black","top left","en face",33,"no",4
2008,"April",3,16,"net(*.net)",1209,"sale","P56","black","top left","en face",33,"no",4
2008,"June",5,1,"Poland",12973,"trousers","A1","navy blue","top left","en face",28,"no",1
2008,"July",17,1,"Poland",19834,"trousers","A42","grey","top in the middle","en face",28,"no",3
2008,"June",1,6,"Poland",12189,"skirts","B15","of many colors","bottom in the middle","en face",38,"no",1
2008,"April",24,12,"Poland",5769,"sale","P46","white","bottom left","en face",28,"no",3
2008,"April",25,1,"Poland",5930,"blouses","C2","red","top left","en face",43,"yes",1
2008,"May",16,11,"Poland",9516,"blouses","C17","white","bottom right","en face",48,"yes",1
2008,"June",24,3,"Ireland",15910,"skirts","B16","red","bottom right","en face",52,"yes",1
2008,"April",29,2,"Czech_Republic",6691,"trousers","A4","blue","top in the middle","profile",38,"no",1
2008,"May",28,42,"Poland",11604,"blouses","C36","white","bottom right","en face",43,"yes",2
2008,"May",9,24,"Poland",8306,"blouses","C49","brown","bottom in the middle","profile",26,"no",3
2008,"June",16,6,"Poland",14676,"blouses","C8","black","top right","profile",48,"yes",1
2008,"August",6,6,"Poland",23002,"skirts","B32","grey","bottom in the middle","en face",38,"no",2
2008,"June",21,1,"Poland",15559,"skirts","B4","olive","top in the middle","en face",52,"yes",1
2008,"July",14,10,"Czech_Republic",19107,"blouses","C3","grey","top left","profile",23,"no",1
2008,"April",7,1,"Poland",2156,"sale","P23","grey","top in the middle","profile",28,"no",2
2008,"July",18,10,"Poland",19940,"trousers","A30","grey","bottom left","en face",38,"no",2
2008,"April",18,6,"Czech_Republic",4606,"blouses","C14","of many colors","bottom in the middle","en face",23,"no",1
2008,"April",23,3,"Poland",5440,"trousers","A28","beige","bottom left","profile",43,"no",2
2008,"April",28,13,"Poland",6460,"sale","P60","white","top in the middle","en face",28,"no",4
2008,"July",21,4,"Poland",20250,"trousers","A9","blue","top right","en face",82,"yes",1
2008,"April",14,3,"Poland",3666,"skirts","B4","olive","top in the middle","en face",52,"yes",1
2008,"August",8,2,"Poland",23354,"skirts","B10","black","bottom left","en face",67,"yes",1
2008,"June",9,3,"Poland",13611,"skirts","B11","black","bottom left","en face",43,"no",1
2008,"May",14,7,"Slovakia",9226,"trousers","A6","blue","top in the middle","en face",43,"no",1
2008,"April",9,1,"Poland",2570,"skirts","B10","black","bottom left","en face",67,"yes",1
2008,"July",3,29,"Poland",17452,"trousers","A7","blue","top right","en face",43,"no",1
2008,"May",21,12,"Poland",10439,"sale","P70","grey","bottom right","profile",38,"yes",4
2008,"July",13,3,"Czech_Republic",19071,"trousers","A5","blue","top in the middle","en face",43,"no",1
2008,"June",9,15,"Czech_Republic",13649,"skirts","B28","of many colors","bottom left","en face",38,"no",2
2008,"May",22,1,"Poland",10493,"skirts","B1","brown","top left","en face",57,"yes",1
2008,"May",6,2,"Poland",7835,"blouses","C3","grey","top left","profile",23,"no",1
2008,"May",5,6,"Poland",7545,"skirts","B4","olive","top in the middle","en face",52,"yes",1
2008,"June",10,2,"net(*.net)",13750,"skirts","B4","olive","top in the middle","en face",52,"yes",1
2008,"April",4,20,"Poland",1473,"sale","P16","green","bottom right","en face",33,"no",1
2008,"May",15,1,"Poland",9340,"sale","P17","black","bottom right","profile",38,"yes",1
2008,"April",1,19,"Poland",278,"blouses","C12","white","bottom left","en face",43,"yes",1
2008,"April",4,2,"Poland",1297,"blouses","C17","white","bottom right","en face",48,"yes",1
2008,"May",24,11,"Poland",10961,"blouses","C54","white","bottom right","en face",57,"yes",3
2008,"April",8,1,"Czech_Republic",2356,"blouses","C21","white","top left","en face",57,"yes",2
2008,"May",9,16,"United_Kingdom",8264,"sale","P48","of many colors","bottom left","profile",33,"no",3
2008,"May",9,1,"Poland",8350,"skirts","B13","red","bottom in the middle","profile",62,"yes",1
2008,"July",17,8,"Poland",19838,"skirts","B4","olive","top in the middle","en face",52,"yes",1
2008,"June",13,2,"Poland",14346,"blouses","C59","burgundy","top in the middle","profile",52,"yes",4
2008,"April",12,1,"Poland",3274,"sale","P61","beige","top right","profile",28,"no",4
2008,"July",10,4,"Poland",18568,"blouses","C56","grey","top left","profile",57,"yes",4
2008,"June",29,13,"Poland",16798,"sale","P6","black","top in the middle","en face",43,"yes",1
2008,"July",2,5,"Poland",17328,"skirts","B25","grey","top right","en face",38,"no",2
2008,"April",7,20,"Poland",1970,"trousers","A38","grey","top left","en face",62,"yes",3
2008,"April",26,2,"Poland",6063,"sale","P49","white","bottom in the middle","en face",33,"no",3
2008,"April",6,13,"Poland",1730,"sale","P55","white","top left","profile",33,"no",4
2008,"May",4,32,"Poland",7378,"sale","P6","black","top in the middle","en face",43,"yes",1
2008,"May",30,1,"Poland",11998,"sale","P46","white","bottom left","en face",28,"no",3
2008,"June",15,15,"Poland",14484,"sale","P4","brown","top in the middle","en face",38,"yes",1
2008,"August",7,70,"Poland",23196,"blouses","C2","red","top left","en face",43,"yes",1
2008,"April",16,7,"Poland",4009,"trousers","A17","black","bottom right","en face",62,"yes",1
2008,"May",26,2,"Poland",11270,"skirts","B4","olive","top in the middle","en face",52,"yes",1
2008,"April",5,25,"Poland",1680,"skirts","B30","of many colors","bottom left","en face",57,"yes",2
2008,"May",30,1,"Poland",11924,"skirts","B1","brown","top left","en face",57,"yes",1
2008,"April",26,9,"Poland",6052,"skirts","B4","olive","top in the middle","en face",52,"yes",1
2008,"May",12,1,"Poland",8746,"sale","P1","blue","top left","en face",38,"yes",1
2008,"June",12,12,"Poland",14188,"sale","P16","green","bottom right","en face",33,"no",1
2008,"April",17,2,"Poland",4308,"skirts","B31","of many colors","bottom in the middle","en face",57,"yes",2
2008,"April",18,3,"Poland",4599,"skirts","B3","red","top left","en face",52,"yes",1
2008,"April",15,6,"Poland",3742,"trousers","A24","black","top in the middle","en face",48,"yes",2
2008,"August",3,19,"Ireland",22379,"sale","P36","black","bottom right","en face",43,"yes",2
2008,"August",8,35,"Poland",23293,"trousers","A21","beige","top left","en face",62,"yes",2
2008,"July",28,2,"Poland",21558,"trousers","A6","blue","top in the middle","en face",43,"no",1
